ID,product_name,product_link,image_link,Price (Dollar),discount_percentage,price_before_discount,rating_out_of_5,number_of_ratings,brand,operating_system,RAM (GB),CPU,Storage (GB),screen_size (Inches),cellular_technology,model_name,cpu_model,available_colors,review,timestamp,stars
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","I am a content creator and needed a second phone. I was hesitant I’m not going to lie but with how many great reviews there are on this phone I decided to give it a shot. The battery holds a charge, there’s not a single scratch on it, and it works great. It’s in great condition.
Read more","Reviewed in the United States on September 6, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","Got it to replace my 13 year olds xr in a pinch battery holds a charge better than his old one just swapped his SIM card over without an issue. Works like new.
Read more","Reviewed in the United States on September 15, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","The exterior is in perfect condition and so far it’s operating like my previous one iPhone XR. I had accidentally ordered the one that was only 2g (which no one should want) and the seller responded and my cancellation was approved and I got the phone a day earlier. This phone has 4g.The battery: I tested this one. I got 8.2 hours from 100% to 3% with it in Low Mode purposely doing battery-sucking things such as downloading all my apps while a long update was happening, watching videos, syncing stuff from iCloud such as photos, playing a game, etc. The phone was a bit warm and working hard. They guarantee that it will be at least at 80% capacity and some people are lucky to get more. Mine came at 79% which is not a big deal and I just can’t be without a phone.80% isn’t terrible unless you constantly are doing battery sucking things. Don’t fret. My previous one was four or five years old and was at 80% before it got destroyed. They say you lose 1% a month. Not mine because I did battery saving things. At home I would plug it in since I watch battery-sucking things like long YT videos. Often I keep it in low mode and the screen turns off quickly-I have to put in my Lock Screen password a lot which is annoying but it saves usage. When I charge it I practically turn off the light. Turn off background refresh on apps that aren’t that important to be refreshed. Keep your screen brightness as dim as you can handle. I think using it in airplane mode helps. I keep location services off until an app needs it. If you put it on Never so you don’t have to keep tapping the screen, that seriously sucks up the battery. If you take lots of photos and videos, say on vacation, you might want to bring an external battery charger. Limit your notifications on your Lock Screen because all that lighting up sucks your battery. Look at your battery health to see what you’re doing.80% isn’t bad. It depends what you do on it and how you set your screen.
Read more","Reviewed in the United States on May 24, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","I have had this product for a few years and it still runs well enough to keep for now. Please be aware that the ""crack"" seen on the front of the phone was NOT there upon arrival, that is in fact a slightly cracked screen cover I installed personally after purchasing.The Apple iPhone XR, 64GB, Black (Renewed) is an excellent choice for those looking to get a high-quality iPhone without breaking the bank. As a renewed product, it offers great functionality and performance, making it a worthwhile investment.Performance and Quality:The iPhone XR performs impressively well. The A12 Bionic chip ensures smooth operation, and the battery life is commendable. The 6.1-inch Liquid Retina display is vibrant and clear, making it perfect for media consumption and everyday use. Despite being a renewed product, it functions just as efficiently as a brand-new phone.Value for Money:At this price point, the iPhone XR is a fantastic deal. You get all the features and capabilities of an iPhone without the premium price tag of a brand-new model. For those on a budget, this unlocked version provides flexibility and the freedom to choose your carrier.Condition:However, it’s important to note that the phone does come with some visible wear and tear. While these cosmetic imperfections do not affect the device's performance, they are noticeable. For instance, there might be minor scratches or scuffs on the screen and body. This is expected with a renewed product, but it’s something potential buyers should be aware of.Overall:Overall, the Apple iPhone XR, 64GB, Black (Unlocked) (Renewed) is a solid purchase. It delivers high performance and quality at a reduced cost, making it an excellent value. While it’s not perfect due to visible wear and tear, it’s a small trade-off for the significant savings and the ability to own a high-functioning iPhone. I would definitely recommend it for anyone looking to get the most out of their money.
Read more","Reviewed in the United States on July 10, 2024",4.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","Item was received exactly as expected. The phone I got is several years old, but for a renewed, it functions like a charm and activated fine. I got this as a spare and also to have for ARKit developelment and face tracking.The seller included a charging cable, sim card popper and as a bonus also put a screen protector on it for me. That was something I didn't expect and was an extremely nice gesture.Was very happy with my experience with Amazon Renewed too.
Read more","Reviewed in the United States on August 21, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","I’ve had this phone for a couple years now, it works well and it’s like a brand new phone. There were some scratches on the sides when I initially got it but it doesn’t bother me, just use phone case and screen cover to protect it. When I upgrade however I’ll have to get a phone with more storage because 64GB is just not enough.
Read more","Reviewed in the United States on September 7, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","Hey guys, so I ordered this phone on the 19th and got it the next day, the phone came in great condition. There was no visible scratches or dents or marks on the phone at all on the plus side it came with a glass screen protector already on it, the battery life is compatible with 100%, which is great because on there it’s listed at about 80 all in all no problems. Great phone so happy I bought it.
Read more","Reviewed in the United States on September 22, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","Lo compré como celular secundario, aprovechando la oferta aun siendo de condición ""Aceptable"".Estéticamente presenta rallones en las esquinas, pero ninguno que afecte su desempeño (con funda y mica ni se ven).En cuanto a su desempeño interno, es funcional y muy bueno lo utilicé varios días seguidos para cubrir unas grabaciones y fotografías y Aún se defiende.En cuanto a Batería pensé que llegaría muy desgastada, por que la vez pasada que compré uno ""Excelente"" llegó al 82%, mientras este sigue desde hace ya un tiempo en 87%, hay que tener en cuenta que es mejor conseguir su cargador Apple para no afectar su batería rápidamente, por cierto; no siento que se caliente, a menos de que se prolonge su uso bajo en sol, eso y que no lo uso mientras se carga.Espero y les sirva 😀
Read more","Reviewed in Mexico on September 1, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","El iPhone llego en perfecto estado, estética 10/10 funcional, materia al 86% funciona perfecto ! mil Gracias
Read more","Reviewed in Mexico on August 5, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","El teléfono llego en buen estado, sigue funcionando hasta la fecha, se entregó justo lo que se ofrece en la descripción del producto
Read more","Reviewed in Mexico on July 7, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","I am a content creator and needed a second phone. I was hesitant I’m not going to lie but with how many great reviews there are on this phone I decided to give it a shot. The battery holds a charge, there’s not a single scratch on it, and it works great. It’s in great condition.
Read more","Reviewed in the United States on September 6, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","Got it to replace my 13 year olds xr in a pinch battery holds a charge better than his old one just swapped his SIM card over without an issue. Works like new.
Read more","Reviewed in the United States on September 15, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","The exterior is in perfect condition and so far it’s operating like my previous one iPhone XR. I had accidentally ordered the one that was only 2g (which no one should want) and the seller responded and my cancellation was approved and I got the phone a day earlier. This phone has 4g.The battery: I tested this one. I got 8.2 hours from 100% to 3% with it in Low Mode purposely doing battery-sucking things such as downloading all my apps while a long update was happening, watching videos, syncing stuff from iCloud such as photos, playing a game, etc. The phone was a bit warm and working hard. They guarantee that it will be at least at 80% capacity and some people are lucky to get more. Mine came at 79% which is not a big deal and I just can’t be without a phone.80% isn’t terrible unless you constantly are doing battery sucking things. Don’t fret. My previous one was four or five years old and was at 80% before it got destroyed. They say you lose 1% a month. Not mine because I did battery saving things. At home I would plug it in since I watch battery-sucking things like long YT videos. Often I keep it in low mode and the screen turns off quickly-I have to put in my Lock Screen password a lot which is annoying but it saves usage. When I charge it I practically turn off the light. Turn off background refresh on apps that aren’t that important to be refreshed. Keep your screen brightness as dim as you can handle. I think using it in airplane mode helps. I keep location services off until an app needs it. If you put it on Never so you don’t have to keep tapping the screen, that seriously sucks up the battery. If you take lots of photos and videos, say on vacation, you might want to bring an external battery charger. Limit your notifications on your Lock Screen because all that lighting up sucks your battery. Look at your battery health to see what you’re doing.80% isn’t bad. It depends what you do on it and how you set your screen.
Read more","Reviewed in the United States on May 24, 2024",5.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","I have had this product for a few years and it still runs well enough to keep for now. Please be aware that the ""crack"" seen on the front of the phone was NOT there upon arrival, that is in fact a slightly cracked screen cover I installed personally after purchasing.The Apple iPhone XR, 64GB, Black (Renewed) is an excellent choice for those looking to get a high-quality iPhone without breaking the bank. As a renewed product, it offers great functionality and performance, making it a worthwhile investment.Performance and Quality:The iPhone XR performs impressively well. The A12 Bionic chip ensures smooth operation, and the battery life is commendable. The 6.1-inch Liquid Retina display is vibrant and clear, making it perfect for media consumption and everyday use. Despite being a renewed product, it functions just as efficiently as a brand-new phone.Value for Money:At this price point, the iPhone XR is a fantastic deal. You get all the features and capabilities of an iPhone without the premium price tag of a brand-new model. For those on a budget, this unlocked version provides flexibility and the freedom to choose your carrier.Condition:However, it’s important to note that the phone does come with some visible wear and tear. While these cosmetic imperfections do not affect the device's performance, they are noticeable. For instance, there might be minor scratches or scuffs on the screen and body. This is expected with a renewed product, but it’s something potential buyers should be aware of.Overall:Overall, the Apple iPhone XR, 64GB, Black (Unlocked) (Renewed) is a solid purchase. It delivers high performance and quality at a reduced cost, making it an excellent value. While it’s not perfect due to visible wear and tear, it’s a small trade-off for the significant savings and the ability to own a high-functioning iPhone. I would definitely recommend it for anyone looking to get the most out of their money.
Read more","Reviewed in the United States on July 10, 2024",4.0
1,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_12?dib=eyJ2IjoiMSJ9._eY91ZyjAdQKEzzR6DNcMdFRe0yHQ0CEnmbO0QizIqRt5nq6hCQqYJObh553vsAKozdGdTb-QY2LLU680L8eittx2AGozuBKoU8BRNw3Bvk7V7vkKNxQUT9sAV5DLP4uzJbYBpYBln7jwHEQSnKdcFbZ7Uk9SlmxevYlus6yXDiw7wT70DC1eJx1XEmZWBL1wewGK1viWK1cBEAF75Ad8ZACg06WrbV-lk7R-Qh9OGbYEvlbYTm9IeDy7gw6x6FrSH2LnUXnFY-mLBDgZdMx2KrF3weim9B9dhw130zBQUc.qjapENuaQ2He-Dqp-B7cVnFn3WK2B-BBawgzZ6J78WE&dib_tag=se&qid=1725951521&s=wireless&sr=1-12,https://m.media-amazon.com/images/I/717KHGCJ6eL._AC_UL320_.jpg,168.39,5.93,179.0,4.4,64918.0,Apple,iOS 12,3.0,,64.0,6.1,"LTE, CDMA, EV-DO, UMTS, HSPA, HSDPA, GSM, EDGE",iPhone XR,,"Black, Blue, Coral, Red, White, Yellow","Item was received exactly as expected. The phone I got is several years old, but for a renewed, it functions like a charm and activated fine. I got this as a spare and also to have for ARKit developelment and face tracking.The seller included a charging cable, sim card popper and as a bonus also put a screen protector on it for me. That was something I didn't expect and was an extremely nice gesture.Was very happy with my experience with Amazon Renewed too.
Read more","Reviewed in the United States on August 21, 2024",5.0
